sku,name,nature,category,brand,sale_price,location,min_stock,barcode,unit,notes
300653610800,Solución multipropósito,PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,Optifree,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8412@2026-08-03
300653611005,Optifree Puremoist 120ml,PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,OptiFree,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8407@2026-08-03 | PILAR=P2 - Inventario.xlsx#1031@2026-08-10
300653611692,Optifree Puremoist 60ml,PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8405@2026-08-03
310119033227,Renu Baush & Lomb 120ml (sin estuche),PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,Renu,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8416@2026-08-03 | PILAR=P2 - Inventario.xlsx#1025@2026-08-10
310119033340,Renu Baush & Lomb 355ml,PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,Renu,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8417@2026-08-03 | PILAR=P2 - Inventario.xlsx#1026@2026-08-10
310119037805,BIOTRUE MULTIUSO HYALURONATO 120ML,PRODUCTO_STOCKEABLE,Líquidos Multipropósitos,Biotrue,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8400@2026-08-03 | PILAR=P2 - Inventario.xlsx#1024@2026-08-10
310119052136,ReNu Plus Gotas 8ml,PRODUCTO_STOCKEABLE,Medicamentos,Renu,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#8419@2026-08-03
630175476043,Dailies -5.25,PRODUCTO_STOCKEABLE,Lente de contacto,DAILIES,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7779@2026-08-03
730821598041,Freshlook Colorblends blue +1.50,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#947@2026-08-10
730821598232,FreshLook Blue Neutro,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#892@2026-08-10
730821599345,Freshlook Colorblends Gray +5.50,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#954@2026-08-10
730821599376,FreshLook Colorblends Gray,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7715@2026-08-03
730821599949,Freshlook Green Neutro,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: ASUNCION=PC - Inventario.xlsx#7676@2026-08-03
730821599963,FreshLook Verde -0.50,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#889@2026-08-10
730821599987,FRESHLOOK GREEN -1.00,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#951@2026-08-10
730821600003,FreshLook Colorblends Green -1.50,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#940@2026-08-10
730821600386,FRESHLOOK HONEY +3.00,PRODUCTO_STOCKEABLE,Lente de contacto,Freshlook,,,,,UNIDAD,origen: PILAR=P2 - Inventario.xlsx#949@2026-08-10
